pmcid,table_id,table_label,table_caption,table_foot,n_header_rows,table_data_file
4053649,tbl1,Table 1,"Demographics, vascular risk and cognitive function among risk groups.","Cognitive factor scores were derived from a factor analytic study of the WRAP neuropsychological battery. Individual neuropsychological tests loaded onto separate factors. Rey Auditory Verbal Learning Test (Spreen and Strauss, 1998), Trials 1 and 2 loaded onto  the Immediate Memory factor. Rey Auditory Verbal Learning Test (Spreen and Strauss, 1998), Trials 3–5 and Delayed Recall Trial loaded onto the Verbal Learning and Memory factor.  Wechsler Adult Intelligence Scale—3rd edition (Wechsler, 1997), Digit Span, Arithmetic, and Letter-Numbering Sequencing subtests loaded onto the Working Memory factor. The interference trial from the Stroop test (Trenerry, 1989), and Trail Making Test A and B (Reitan and Wolfson, 1993) loaded onto the Speed and Flexibility factor. The Speed and Flexibility factor score was unavailable for nine participants. The ANCOVA for cognitive function controlled for age, years of education, and sex. APOE4: apolipoprotein epsilon 4 allele; FH: family history of Alzheimer's disease; M: mean; SD: standard deviation; BP: blood pressure; BMI: body mass index; HDL: high density lipoprotein. Missing data: A sub-set of participants did not have vascular risk factors available; blood pressure, BMI, and cholesterol were missing for one participant, insulin was missing for 12 participants, and HDL and glucose were missing for 11 participants.",2,articles/00c/pmcid_4053649/tables/table_000.csv
5200876,t0005,Table 1,Participant demographics at baseline and year one.,⁎t-Tests used to obtain p-values.,2,articles/49c/pmcid_5200876/tables/table_000.csv
5200876,t0010,Table 2,Number and percentage of total significant voxels in regions with significantly (decreased) fractional anisotropy and/or (increased) mean diffusivity at year one compared to baseline in individuals with Alzheimer's disease and in healthy controls.,,2,articles/49c/pmcid_5200876/tables/table_001.csv
5200876,t0015,Table 3,Number and percentage of total significant voxels in regions with low fractional anisotropy and high mean diffusivity in individuals with Alzheimer's disease (AD) compared to healthy controls (HC) at baseline and at year one.,,2,articles/49c/pmcid_5200876/tables/table_002.csv
6872975,T1,TABLE 1,"Gender-related differences in demographic and clinical data, radiological parameters, and APOE status.",,2,articles/a7f/pmcid_6872975/tables/table_000.csv
3132541,tab1,Table 1,Demographic and clinical data summary.,"
							avalue for one subject is missing.
							bvalue for two subjects is missing.
							cvalue for 8 subjects is missing. WMSH = white matter signal hyperintensities.",1,articles/c19/pmcid_3132541/tables/table_000.csv
11111894,tab1,Table 1,Demographic characteristics of the control and subjective cognitive decline (SCD) groups.,"There were no between-group differences in sex, age, income, or years of education.",1,articles/068/pmcid_11111894/tables/table_000.csv
11111894,tab2,Table 2,Between-group comparison in memory performance.,"MMSE, Mini-Mental State Exam. **p < 0.01. & One control participant is missing MMSE scores. However, they scored normally on story recall and denied any memory problems. Thus, we opted to include them in the analysis.",1,articles/068/pmcid_11111894/tables/table_001.csv
11111894,tab3,Table 3,Mean cortical thickness for temporal regions of interest (in mm) for the control and subjective cognitive decline (SCD) groups.,"Between-group comparisons indicate decreased cortical thickness in SCD in left and right entorhinal cortices and the right temporal pole. *p < 0.05 and **p < 0.01. & There were 327 participants over the age of 55 with anatomical T1w images available. Two control participants and three SCD participants were excluded from the cortical thickness and brain structure volume analyses due to segmentation errors, for a total of 322 segmentations as detailed in this table.",1,articles/068/pmcid_11111894/tables/table_002.csv
11111894,tab4,Table 4,Regional diffusion metric mean values for the subjective cognitive decline (SCD) and control groups in the left and right lower cingulum.,No significant between-group differences are noted for any of the metrics. Diffusivity values are reported with units of 10−3 mm2/s.,1,articles/068/pmcid_11111894/tables/table_003.csv
9616370,utbl0001,,,,1,articles/3fd/pmcid_9616370/tables/table_000.csv
9616370,tbl0001,Table 1,Overview of data collection per visit.,,1,articles/3fd/pmcid_9616370/tables/table_001.csv
9616370,tbl0002,Table 2,"Inclusion and exclusion criteria for patients with sporadic SVDs, CADASIL and healthy controls.",,1,articles/3fd/pmcid_9616370/tables/table_002.csv
9616370,tbl0003,Table 3,"Neuropsychological tests and questionnaires in fixed order. MMSE= Mini-Mental State Examination, CES-D= Center for Epidemiological Studies Depression Scale.",,1,articles/3fd/pmcid_9616370/tables/table_003.csv
9616370,tbl0004,Table 4,3T brain MRI protocol. GE= gradient echo; TSE= turbo spin echo; FLAIR= Fluid attenuated inversion recovery; DTI= diffusion tensor imaging; BOLD= Blood oxygenation level-dependent; rs-fMRI= resting state functional magnetic resonance imaging; Qflow = quantitative flow; (pC)ASL= (pseudoContinuous) Arterial spin labeling; SWI= susceptibility weighted imaging; FOV= Field of view; TE= Echo Time; TI= Inversion Time; TR= Repetition Time.,,1,articles/3fd/pmcid_9616370/tables/table_004.csv
9616370,tbl0005,Table 5,7T brain MRI protocol in fixed order. CSO= Semioval centre; BG= Basal Ganglia; M1= first segment of the middle cerebral artery; BOLD= Blood oxygenation level-dependent; fMRI= functional magnetic resonance imaging; FOV= Field of view; TE= Echo Time; TI= Inversion Time; TR= Repetition Time. *Total scan time for a heart rate of 80 bpm.,"aA fast version of the T1-weighted sequence was added multiple times to assess potential subject motion during the scan, particularly after repositioning for attaching the mask for the hypercapnic challenge.",1,articles/3fd/pmcid_9616370/tables/table_005.csv
5349685,pone.0173982.t001,Table 1,"Summary demographics, cognitive data, and CSF measures from the included participants.",,1,articles/a77/pmcid_5349685/tables/table_000.csv
5349685,pone.0173982.t002,Table 2,Linear Pearson Correlation between biomarkers and age.,Significant correlations at P < 0.05 (*) and P < 0.001 (†) after Bonferroni correction are noted.,1,articles/a77/pmcid_5349685/tables/table_001.csv
5349685,pone.0173982.t003,Table 3,Diffusion metrics of tracts.All values are listed as mean ± standard deviation.,,2,articles/a77/pmcid_5349685/tables/table_002.csv
5349685,pone.0173982.t004,Table 4,DTI tractography results.,All results with an uncorrected P ≤ 0.05 along with the false discovery rate α value.,1,articles/a77/pmcid_5349685/tables/table_003.csv
5349685,pone.0173982.t005,Table 5,FWE-DTI tractography results.,All results with an uncorrected P ≤ 0.05 along with the false discovery rate α value.,1,articles/a77/pmcid_5349685/tables/table_004.csv
5349685,pone.0173982.t006,Table 6,Listing of all significant clusters for which the FWE-DTI f-value was correlated to one of the predictors.,"Information presented for each cluster includes diffusion metric and the related biomarker, relevant white matter region, MNI coordinates (in mm) of the peak t-value, and the cluster size (k). An explicit cluster size threshold is not needed when using TFCE as this threshold is strictly for reporting.",1,articles/a77/pmcid_5349685/tables/table_005.csv
5349685,pone.0173982.t007,Table 7,Listing of all significant clusters for which the DTI MD was correlated to one of the predictors.,"Information presented for each cluster includes diffusion metric and the related biomarker, relevant white matter region, MNI coordinates (in mm) of the peak t-value, and the cluster size (k). An explicit cluster size threshold is not needed when using TFCE as this threshold is strictly for reporting.",1,articles/a77/pmcid_5349685/tables/table_006.csv
5349685,pone.0173982.t008,Table 8,The total extent of significant voxels (mm3).,,1,articles/a77/pmcid_5349685/tables/table_007.csv
5349685,pone.0173982.t009,Table 9,The percent overlap between the significant finding maps using the FWE-DTI f-value.,"These are computed as the percent of the smaller map, which overlaps with the larger map.",1,articles/a77/pmcid_5349685/tables/table_008.csv
5349685,pone.0173982.t010,Table 10,The percent overlap between the significant finding maps using the DTI MD.,"These are computed as the percent of the smaller map, which overlaps with the larger map.",1,articles/a77/pmcid_5349685/tables/table_009.csv
7235062,Tab1,Table 1,Baseline clinical and MRI characteristics of the total cohort and comparison of subgroups according to the median split of the cavitation index,"*Sum of periventricular (0–3) and deep (0–3) WMH scores#Available in 42 patients (n = 22 with cavitation index ≤ 7%; n = 20 with cavitation index > 7%)SD, standard deviation; NIHSS, National Institutes of Health Stroke Scale; FU, follow-up; RSSI, recent small subcortical infarct; PVS, perivascular spaces; IQR, interquartile range; ACE-R, Addenbrooke’s Cognitive Examination Revised",2,articles/696/pmcid_7235062/tables/table_000.csv
7235062,Tab2,Table 2,Bivariate correlations of clinical and MRI parameters with cavitation index,"*BBB analyses were available in 59 patients (DCE data not available for 1 patient)# Available in 42 patientsNIHSS, National Institutes of Health Stroke Scale; AUC, area under the curve; RSSI, recent small subcortical infarct; DTI, diffusion tensor imaging; WMH, white matter hyperintensities; MD, mean diffusivity; FA, fractional anisotropy; ACE-R, Addenbrooke’s Cognitive Examination Revised",1,articles/696/pmcid_7235062/tables/table_001.csv
11872816,Tab1,Table 1,Characteristics of the participants,"GDS Geriatric Depression Scale, MLF middle longitudinal fasciculus, MMSE Mini Mental Status Exam, IFO inferior fronto-occipital fasciculus, SNR signal-to-noise ratioNote. Continuous variables are presented as the mean (standard deviation) and categorical variables as numbers (percentages)*Mann–Whitney U test for continuous variables and Fisher’s exact test for categorical variablesaRatio of the power of steady-state visually evoked potential at the frequency of administered flickering light",1,articles/86d/pmcid_11872816/tables/table_000.csv
11872816,Tab2,Table 2,Effects of the microstructural integrity of white matter tracts on the spectral Granger causality of gamma connectivity from visual cortex to other brain regions,"AxD axial diffusivity, ERSOz event-related synchronization of gamma rhythms at Oz, FA fractional anisotropy, IFO inferior fronto-occipital fasciculus, MD mean diffusivity, MLF middle longitudinal fasciculus, SE standard error, RD radial diffusivity, ΔR2 change in the R2 between stepsaForward stepwise multiple linear regression analyses computing the spectral Granger causality of gamma rhythm connectivity from left occipital to left temporocentral region as a dependent variable and ERSOz and one of FA, MD, RD, or AxD of left MLF as independent variablesbForward stepwise multiple linear regression analyses computing the spectral Granger causality of gamma rhythm connectivity from right occipital to right temporocentral region as a dependent variable and ERSOz and one of FA, MD, RD, or AxD of right MLF as independent variablescForward stepwise multiple linear regression analyses computing the spectral Granger causality of gamma rhythm connectivity from left occipital to left frontal region as a dependent variable and ERSOz and one of FA, MD, RD, or AxD of left IFO as independent variablesdForward stepwise multiple linear regression analyses computing the spectral Granger causality of gamma rhythm connectivity from right occipital to right frontal region as a dependent variable and ERSOz and one of FA, MD, RD, or AxD of right IFO as independent variables",2,articles/86d/pmcid_11872816/tables/table_001.csv
9693722,T1,TABLE 1,Summary of clinical and neuroimaging data.,"Kruskal Wallis and ANOVA were used to investigate differences across the three groups, as appropriate.†Six missing values.We reported the original p-values and, when significant differences were found, we ran FDR-adjusted pairwise comparisons: *FDR-adjusted p < 0.05.**FDR-adjusted p < 0.01.***FDR-adjusted p < 0.001.‡No statistical significance in pairwise comparisons, after FDR-correction.SD, standard deviation; IQR, interquartile range; MMSE, mini mental state examination; CMB, cerebral microbleeds; cSS, cortical superficial siderosis; CMI, cerebral microinfarcts; CSO-PVS, perivascular spaces in the centrum semiovale; BG-PVS, perivascular spaces in the basal ganglia; nWMHV, normalized white matter hyperintensity volume; nTBV, normalized total brain volume; CAA, cerebral amyloid angiopathy; cSVD, cerebral small vessel disease; PSMD, peak width of skeletonized mean diffusivity. Probable-CAA, patients fulfilling the modified Boston criteria for Probable CAA; cSVD, patients with neuroimaging markers of cSVD not attributable to CAA—presumed arteriolosclerosis; non-cSVD, patients without neuroimaging markers of cSVD.aNon-cSVD group; bcSVD group; CProbable CAA group.",2,articles/051/pmcid_9693722/tables/table_000.csv
6801158,acn350877-tbl-0001,Table 1,"Demographics, clinical, and imaging features of included PDD subjects.",,1,articles/dda/pmcid_6801158/tables/table_000.csv
4305215,tbl1,Table 1,Study Participants' Clinical and Imaging Characteristics,aLinear regression comparing controls with all bvFTD subjects.bFisher exact test.cWilcoxon rank sum test.BBSI = brain boundary shift integral; bvFTD = behavioral variant frontotemporal dementia; C9ORF72 = chromosome 9 open-reading frame 72; F = female; M = male; MAPT = microtubule-associated protein tau; MMSE = Mini-Mental State Examination; SD = standard deviation; TIV = total intracranial volume.,2,articles/3ed/pmcid_4305215/tables/table_000.csv
4305215,tbl2,Table 2,Study Participants' Neuropsychological Performance at Baseline and Follow-up,"Scores shown are raw scores for each test with maximum scores shown in parentheses. Probability values denote significance level comparing behavioral scores (raw score at baseline and change from baseline over time) of all bvFTD participants with control participants after adjustment for age, gender, and disease duration.aTotal scores on the TASIT are scaled scores.vFTD = behavioral variant frontotemporal dementia; CI = confidence interval; DKEFS = Delis–Kaplan Executive Frontal System; PIQ = performance intelligence quotient; SD = standard deviation; TASIT = Awareness of Social Inference Test; VIQ = verbal intelligence quotient; WASI = Wechsler Abbreviated Scale of Intelligence.",3,articles/3ed/pmcid_4305215/tables/table_001.csv
4305215,tbl3,Table 3,Baseline Diffusion Tensor Imaging Metric Data for Individual White Matter Regions of Interest for Control Participants and Patients,"aLinear regression comparing bvFTD with controls after adjusting for age, gender, and disease duration.vFTD = behavioral variant frontotemporal dementia; FA = fractional anisotropy; L = left; MD = mean diffusivity; R = right; SCP = superior cerebellar peduncle; SD = standard deviation.",2,articles/3ed/pmcid_4305215/tables/table_002.csv
4305215,tbl4,Table 4,"Estimated Percentage per Year Difference in the Rate of Change of FA and MD for bvFTD Patients and bvFTD Subgroups, by Region, Compared with Controls",bvFTD = behavioral variant frontotemporal dementia; C9ORF72 = chromosome 9 open-reading frame 72; CC = corpus callosum; CI = confidence interval; FA = fractional anisotropy; L = left; MAPT = microtubule-associated protein tau; MD = mean diffusivity; R = right; SCP = superior cerebellar peduncle.,2,articles/3ed/pmcid_4305215/tables/table_003.csv
4305215,tbl5,Table 5,Sample Size Estimatesa per Treatment Arm of a Clinical Trial Comparing 3 Different Outcome Measures to Detect a 20 to 50% Reduction in Rates of Change,"Sample size estimates have been adjusted for control rates of change.aβ = 80%, α = 0.05.AX = axial diffusivity; BBSI = brain boundary shift integral (a measure of whole brain atrophy); DTI = diffusion tensor imaging; FA = fractional anisotropy; MD = mean diffusivity; RD = radial diffusivity.",3,articles/3ed/pmcid_4305215/tables/table_004.csv
9292816,gps5540-tbl-0001,TABLE 1,Demographic characteristics and cognitive test scores across groups,"Abbreviations: AD, AD‐dementia; ADNI_EF, executive functioning composite score; ADNI_MEM, memory composite score; M, mean; MBI, mild behavioral impairment; MCI, mild cognitive impairment; NC, normal cognition; SD, standard deviation.",1,articles/094/pmcid_9292816/tables/table_000.csv
9292816,gps5540-tbl-0002,TABLE 2,"Simple effect of MBI on regions of interest for DTI parameters from linear mixed‐effects regression analysis controlling for age, sex, education, psychotropic medication use, and disease diagnosis (MCI, AD, or NC)","Abbreviations: AD, AD‐dementia; AxD, axial diffusivity; CGC, cingulum; CGH, cingulum (hippocampus); F, female; FA, fractional anisotropy; FX, fornix; IFO, inferior fronto‐occipital fasciculus; M, male; MCI, mild cognitive impairment; MD, mean diffusivity; MBI+, presence of impulse dyscontrol symptoms; NC, normal cognition; RD, radial diffusivity; SFO, superior fronto‐occipital fasciculus; SE, standard error; UNC, uncinate fasciculus.",2,articles/094/pmcid_9292816/tables/table_001.csv
9292816,gps5540-tbl-0003,TABLE 3,"Simple effect of MBI on regions of interest for cortical thickness, surface area, and volume from linear mixed‐effects regression analysis controlling for age, sex, education, psychotropic medication use, and disease diagnosis (MCI, AD, or NC)","Abbreviations: MBI+, presence of MBI impulse dyscontrol symptoms; SE, standard error.",2,articles/094/pmcid_9292816/tables/table_002.csv
10638840,j_biol-2022-0714_tab_001,Table 1,Demographically based clinical and neuropsychological discovery data,"a – Significant in comparison to NCs. b – Notable dissimilarity in comparison to those with a typical MCI. c – The average of the best three recalls scores. d – The results of a five-minute delayed recall test. e – Nineteen people with AD, two with aMCI, and one without dementia did not or would not finish the test.",1,articles/cc8/pmcid_10638840/tables/table_000.csv
10638840,j_biol-2022-0714_tab_002,Table 2,Demographically based clinical and neuropsychological replicated data,"a – Significant in comparison to NCs. b – Notable dissimilarity in comparison to those with a typical MCI. c – The average of the best three recalls scores. d – The results of a five-minute delayed recall test. e – Nineteen people with AD, two with aMCI, and one without dementia did not or would not finish the test.",1,articles/cc8/pmcid_10638840/tables/table_001.csv
10638840,j_biol-2022-0714_tab_003,Table 3,Performance analysis of the accuracy,,2,articles/cc8/pmcid_10638840/tables/table_002.csv
10638840,j_biol-2022-0714_tab_004,Table 4,Performance analysis of the specificity,,2,articles/cc8/pmcid_10638840/tables/table_003.csv
10638840,j_biol-2022-0714_tab_005,Table 5,Performance analysis of the specificity,,2,articles/cc8/pmcid_10638840/tables/table_004.csv
5167220,Tab1,Table 1,"Demographic information for the 33 healthy controls, 20 bvFTD and 23 EOAD patients studied here. The mean age, breakdown by sex and Mini Mental State Examination (MMSE) scores are listed for each diagnostic group",,1,articles/f6e/pmcid_5167220/tables/table_000.csv
5167220,Tab2,Table 2,Representative fiber bundles,"The corpus callosum tracts are divided into 6 distinct segments: frontal, temporal, parietal, occipital, precentral gyrus and postcentral gyrus. The SLF tract was only traced in the left hemisphere as it tends to be highly asymmetrical in population studies (Catani et al. 2007). For each fiber tract, we indicate the total number of fibers included in the atlas template that we used for our population studies",1,articles/f6e/pmcid_5167220/tables/table_001.csv
5167220,Tab3,Table 3,Comparisons between dementia groups and healthy controls,"bvFTD participants showed severe deficits, most frequently detected as decreases in FA (↓) (FDR critical P = 0.024), increases in MD (↑) (FDR critical P = 0.035), RD (FDR critical P = 0.034) and AX (FDR critical P = 0.019). Most affected tracts in bvFTD were the L-UNC, R-UNC, CC-FNR, L-ATR, R-ATR, L-CGC, R-CGC and L-SLF (Fig. 2). EOAD participants showed significant decreases in FA (FDR critical P = 1.5 × 10−3), increases in MD (FDR critical P = 0.01), RD (FDR critical P = 9.2 × 10−3) and AX (FDR critical P = 5.2 × 10−3). The L-PHC, R-PHC and CC-PAR stood out as most affected (Fig. 3). The percentage of tracts that passed FDR threshold is listed and total effect size (r) computed across each fiber",2,articles/f6e/pmcid_5167220/tables/table_002.csv
11345637,hbm26805-tbl-0001,TABLE 1,Demographics and clinical characteristics of the study population.,"Note: Data are presented as median (Q1, Q3). N represents the number of patients. p values reported in bold denote statistical significance at p < .05 (Kruskal‐Wallis test, FDR corrected).Abbreviations: Aβ42, amyloid β 42; AD, Alzheimer's disease patients; CU, cognitively unimpaired subjects; GMVF, gray matter volume fraction; MCI, mild cognitive impairment patients; MMSE, Mini‐Mental State Examination; nAD, non Alzheimer's disease degenerative patients; P‐tau, phosphorylated tau; T‐tau, total tau; WMLVF, white matter lesion volume fraction.",2,articles/743/pmcid_11345637/tables/table_000.csv
6390411,T1,Table 1,"Demographic and clinical measures for participants in Alzheimer’s Disease Neuroimaging Initiative (ADNI3), subdivided by diffusion-weighted MRI (dMRI) protocol.","We report the average age, Mini-Mental State Examination (MMSE), Clinical Dementia Rating scale sum-of-boxes (CDR-sob), and AD Assessment scale 13 (ADAS-cog) measures, and their standard deviations. *Data not available for all participants: MMSE N = 315; CDR-sob N = 316 and ADAS-cog N = 278. +We recognize the limitations of these assessments as proxy measures of specific cognitive abilities (Balsis et al., 2015).",3,articles/d04/pmcid_6390411/tables/table_000.csv
6390411,T2,Table 2,ADNI diffusion MRI acquisition protocols.,"*Reflects the time to acquire the full multi-shell protocol (127 volumes), not the single-shell subset.",1,articles/d04/pmcid_6390411/tables/table_001.csv
6390411,T3,Table 3,"The following 24 regions of interest (ROIs) from the Johns Hopkins University (JHU) atlas (Mori et al., 2008) were analyzed.",,1,articles/d04/pmcid_6390411/tables/table_002.csv
11497707,alz14158-tbl-0001,TABLE 1,Demographic and clinical data for patients with FTD and healthy controls,"Abbreviations: bvFTD, behavioral variant frontotemporal dementia; CDR, Clinical Dementia Rating; FTD, frontotemporal dementia; MMSE, Mini‐Mental State Examination; nfvPPA, nonfluent variant primary progressive aphasia; svPPA, semantic variant primary progressive aphasia.",1,articles/311/pmcid_11497707/tables/table_000.csv
11497707,alz14158-tbl-0002,TABLE 2,WMH volumes in patients with FTD compared with healthy controls,"Abbreviations: bvFTD: behavioral variant frontotemporal dementia; FTD, frontotemporal dementia; L, left; nfvPPA, nonfluent variant primary progressive aphasia; R, right; svPPA, semantic variant primary progressive aphasia; WM, white matter; WMH, white matter hyperintensity.aIndicates that there was a significant difference in the corresponding metric between the patient group and its matched healthy controls (p < 0.05); data represent median (25% fraction, 75% fraction).",1,articles/311/pmcid_11497707/tables/table_001.csv
9194644,t0005,Table 1,"Participants baseline characteristics. Mean (SD) and Count (%) for continuous and categorical variables, respectively.",The final samples shown in the table are the total samples utilized. Abbreviations: APOE e4: Apolipoprotein E epsilon 4; BMI: body mass index; HDL: high density lipoprotein; LDL: low density lipoprotein; SBP: systolic blood pressure; DBP: diastolic blood pressure; HbA1c: glycated hemoglobin.,1,articles/d03/pmcid_9194644/tables/table_000.csv
9194644,t0010,Table 2,"Results from two regression (baseline) and two mixed models (progression) on WMH and WM health, Genu-FA.","WMH measurements are log-transformed. Higher WMH and lower Genu-FA represent poor brain health. HTN: Hypertension. Other potential variables were dropped out from the stepwise regression. 1564 participants are included in baseline analysis where 1396 are cognitively normal; 740 participants are included in the progression analysis, where 632 are cognitively normal.",1,articles/d03/pmcid_9194644/tables/table_001.csv
9194644,t0015,Table 3,"Results from two standardized regression models on WMH with and without controlling for WM health, Genu-FA.",WMH measurements are log transformed before the standardized regression models.,1,articles/d03/pmcid_9194644/tables/table_002.csv
9935650,Tab1,Table 1,Baseline characteristics,"Outcome is based on 6-month follow-up. Data are presented as n (%) for dichotomous variables, mean ± sd for normally distributed continuous variables, and median [IQR] otherwise. CPC, cerebral performance category; OHCA, out-of-hospital cardiac arrest",1,articles/184/pmcid_9935650/tables/table_000.csv
9935650,Tab2,Table 2,"Whole-brain mean diffusivity, fractional anisotropy, and percentage of brain volume with mean diffusivity below the threshold of 450*10-6 mm2/s","Data are represented as n (%) for dichotomous variables, mean ± sd for normally distributed continuous variables and median [IQR] otherwise. Effect size is depicted as Cohen’s d (95% CI). MD, mean diffusivity; %MD450, brain volume with mean diffusivity below the threshold of 450 × 10-6 mm2/s; *MD × 10-6 mm2/s",1,articles/184/pmcid_9935650/tables/table_001.csv
3305887,T1,Table 1,Subject demographic information.,"aDiffers from all groups, p < 0.0001;bHigh WMH marginally differ from Low WMH, p = 0.09;cDiffers from young, p < 0.008;dAll groups differ, p < 0.04.",1,articles/58e/pmcid_3305887/tables/table_000.csv
3305887,T2,Table 2,Tract-based multiple regression model p-values for WMH and FA covariates for 10 separate models.,"Model covariates include subject age, sex, and education, and tract WMH and FA as predictors of memory performance.Abbreviations: UNC, uncinate fasciculus; SLF-FP, frontal-parietal portion of the superior longitudinal fasciculus; TH-SFG, projections between thalamus and superior frontal gyrus; TH-MFG, projections between thalamus and middle frontal gyrus; CST, corticospinal tract; CGH, ventral cingulum bundle; CGC, dorsal cingulum bundle; ILF, inferior longitudinal fasciculus; SAF-IOG-MOG, short association fibers between inferior occipital and middle occipital gyrus; SAF-Cu-SOG, short association fibers between cuneus and superior occipital gyrus.*p < 0.05 (uncorrected);**p < 0.0051 (α = 0.05 corrected for 10 comparisons).",1,articles/58e/pmcid_3305887/tables/table_001.csv
3305887,T3,Table 3,Tract-based multiple regression model p-values for WMH and FA covariates as predictors of control cognitive measures.,"Model covariates include subject age, sex, and education, and tract WMH and FA. All values not significant at p < 0.05.Abbreviations: UNC, uncinate fasciculus; ILF, inferior longitudinal fasciculus.",1,articles/58e/pmcid_3305887/tables/table_002.csv
6978216,tbl0001,Table 1,Characteristics of the study population.,Data represent mean ± SD or number of participants (%). WMH volume was expressed as median (IQR). MMSE: Mini-Mental State Examination; WMH: white matter hyperintensities; NAWM: normal appearing white matter; MD: mean diffusivity; FA: fractional anisotropy.,1,articles/d3b/pmcid_6978216/tables/table_000.csv
6978216,tbl0002,Table 2,Associations between SVD markers and rich club organization.,"Associations of the conventional SVD markers WMH, lacunes and microbleeds with structural network measures. WMH volumes were log-transformed because of skewedness. Data are displayed as standardized betas [95% confidence intervals], analyzed using linear regression analyses. *p<0.05; **p<0.01; ***p<0.001.",1,articles/d3b/pmcid_6978216/tables/table_001.csv
6978216,tbl0003,Table 3,Rich club organization and cognitive decline.,"Longitudinal associations between network measures and cognitive decline. Data are displayed as standardized betas [95% confidence intervals]. Statistical differences were analyzed using linear regression analyses, adjusted for age, sex and education. *p<0.05; **p<0.01; ***p<0.001.",1,articles/d3b/pmcid_6978216/tables/table_002.csv
11335690,tab1,Table 1,"Socio-demographic, symptoms, and imaging measures for the two control groups (orthopedic control, OC, and healthy controls, HC).","Values shown are Mean ± SD, with ranges or percentage in (). Race includes White (W), Black or African American (B), Asian (A), and Other (O). PSQI is the global PSQI score using the Pittsburgh Sleep Quality Questionnaire. RPQ is the total scores from the Rivermead Post Concussion Symptoms questionnaire. Total number of symptoms was counted when reported as at least mild symptoms (RPQ ratings ≥2). WM-ePVS is the white matter ePVS burden. BG-PVS is the basal ganglia ePVS burden. Significant p-values (p < 0.05) were shown in bold with *. MVC, Motor Vehicle Collision.",1,articles/4ae/pmcid_11335690/tables/table_000.csv
11335690,tab2,Table 2,"Socio-demographic, symptoms, and imaging measures for control and mTBI patients at two visits (14Day and 6–12Mon).","Values shown are Mean ± SD, with ranges or percentage in (). Positive CT or MRI findings are based on admission CT and clinical MRI sequences. Race includes White (W), Black or African American (B), Asian (A), and Other (O). PSQI is the global PSQI score using the Pittsburgh Sleep Quality Questionnaire. RPQ is the total scores from the Rivermead Post Concussion Symptoms questionnaire. Total number of symptoms was counted when reported as at least mild symptoms (RPQ ratings ≥2). WM-ePVS is the white matter ePVS burden. BG-PVS is the basal ganglia ePVS burden. Significant p-values (p < 0.05) were shown in bold with*. MVC, Motor Vehicle Collision.",1,articles/4ae/pmcid_11335690/tables/table_001.csv
11335690,tab3,Table 3,"Sicio-demographic, symptoms, and imaging measures for mTBI patients with and without memory problems at two visits (14Day and 6–12Mon).","The existence of memory problems was defined as RPQ ratings ≥ 2 at the 14Day visit. Values shown are Mean ± SD, with ranges or percentage in ( ). Positive CT or MRI findings are based on admission CT and clinical MRI sequences. Race includes White (W), Black or African American (B), Asian (A), and Other (O). PSQI is the global PSQI score using the Pittsburgh Sleep Quality Questionnaire. RPQ is the total scores from the Rivermead Post Concussion Symptoms questionnaire. Total Number of Symptoms was counted when reported as at least mild symptoms (RPQ ratings ≥ 2). WM-ePVS is the white matter ePVS burden. BG-PVS is the basal ganglia ePVS burden. Same mTBI patients were included for both visits, therefore demographic information stays the same. Significant p-values (p < 0.05) were shown in bold with *. BMI, Body Mass Index. MVC, Motor Vehicle Collision.",1,articles/4ae/pmcid_11335690/tables/table_002.csv
11335690,tab4,Table 4,Logistic regression model coefficients for Model 2 (Figure 7).,"Among all socio-demographic and clinical information, Education and CT or MRI findings were selected to compose the best logistic model for prediction of 6–12Mon memory problem. 14Day WM-ePVS and ALPS were also significant factors (bolded with *).",1,articles/4ae/pmcid_11335690/tables/table_003.csv
11019668,T1,Table 1,Participant’s demographics and disease characteristics.,"Data shown are n (%) or median (first and third quartiles). For continuous variables, p-values are from Mann-Whitney test. For categorical variables, p-values are from Pearson’s Chi-squared test. Key; MoCA, Montreal Cognitive Assessment; CDR, Clinical Dementia Rating Scale; AVLT-RPC, Rey Auditory Verbal Learning Test – Recognition Percent Correct; RBD, Rapid eye movement sleep behavior disorder.",1,articles/974/pmcid_11019668/tables/table_000.csv
5624890,Tab1,Table 1,Demographic and clinical characteristics.,"Note: all analyses were one-way ANOVA, except †using χ² or Fisher’s Exact test and ‡using independent-samples t test. *Post-hoc analysis indicated significant differences between HC and hypos-PD groups and between norms-PD and hypos-PD groups, but no difference between HC and norms-PD groups. §Post-hoc analysis indicated significant differences between HC and hypos-PD groups; GDS = Geriatric Depression Scale; Handedness: R = right, L = left, M = Mixed; HVLT = Hopkins Verbal Learning Test; H&Y = Hoehn & Yahr staging; JOL = Judgment of Line Test; LNS = Letter-Number Sequencing Test; MOCA = Montreal Cognitive Assessment; SDMT = Symbol-Digit Modalities Test; SF = Semantic Fluency Test; UPDRS-III = MDS-Unified Parkinson’s Disease Rating Scale-Motor Subscale; UPSIT = University of Pennsylvania Smell Identification Test.",2,articles/980/pmcid_5624890/tables/table_000.csv
